m,K,compression_C,positive_compression,T_max,witness_word_bound,all_words,fraction_bound,rho_actual
16,26,0.44403007586882026,True,1219.0851653986097,610,3268760,0.00018661510786965088,1.625
16,28,1.830324436988711,True,520.3993872852608,260,17383860,1.4956402087913731e-05,1.75
16,30,3.216618798108602,True,455.15457509552175,228,77558760,2.9397066172795956e-06,1.875
16,32,4.602913159228493,True,441.3204072879466,221,300540195,7.353425720642791e-07,2.0
32,52,0.8880601517376405,True,488704.88226581184,244352,77535155627160,3.151499445941723e-09,1.625
32,55,2.967501693417475,True,303220.7468845341,151610,1085929983159840,1.396130527300159e-10,1.71875
32,60,6.433237596217204,True,288088.61659081717,144044,55317304280338408,2.6039591385366545e-12,1.875
32,64,9.205826318456985,True,287654.48447354505,143827,916312070471295267,1.5696290012421657e-13,2.0
64,103,1.0829731229153339,True,187619007423.90738,93809503712,23774051550797942482109313600,3.9458778623221846e-18,1.609375
64,109,5.241856206275017,True,124753581709.43324,62376790855,5585340796845854736297018329280,1.1167947153775348e-20,1.703125
64,119,12.17332801187446,True,124094223043.16214,62047111522,18610069940563934749328380328463168,3.334061167967852e-24,1.859375
64,128,18.41165263691397,True,124093583170.8388,62046791585,11975573020964041433067793888190275875,5.1811125427053004e-27,2.0
128,205,1.4727990652707206,True,2.9970559718403766e+22,14985279859201883343748,3031768992078928958443363389349499337212512322122231729536,4.942751211703058e-36,1.6015625
128,218,10.483712412550034,True,2.3099472132915333e+22,11549736066457666037857,485803163949050264873262748436079881328256396818360616370202816,2.37745180014286e-41,1.703125
128,237,23.653508843188973,True,2.3098825611706047e+22,11549412805853022749701,2890408171205357107915353048165625544774805199048877615869174955588480,3.9957722652841415e-48,1.8515625
128,256,36.82330527382794,True,2.309882561047294e+22,11549412805236469334357,2884329411724603169044874178931143443870105850987581016304218283632259375395,4.004193403946474e-54,2.0
