m,K,K_over_m,compression_C,kernel_min,kernel_max,kernel_ratio,R_min_at_n0,R_max_at_n0,uniform_descent_certificate,n_below_all_words_nondescend_bound,n_above_all_words_descend_bound
8,13,1.625,0.22201503793441013,2.88294467306813,61.254229538180155,21.24710547184774,9.60981557687954e-13,2.041807651249785e-11,True,3.865726548130009,82.13549969344018
8,14,1.75,0.9151622184943555,2.88294467306813,121.50845907636031,42.147343378271216,9.60981557687954e-13,4.050281969125936e-11,True,0.6418609386134595,27.052733380840937
8,15,1.875,1.608309399054301,2.88294467306813,242.01691815272062,83.94781919111816,9.60981557687954e-13,8.06723060475722e-11,True,0.2405845766398294,20.196550539932108
16,26,1.625,0.44403007586882026,2.995432683478958,2044.3230678824527,682.4800567736789,9.984775611581557e-13,6.814410223946219e-10,True,1.7862575665018838,1219.0851653986192
16,27,1.6875,1.1371772564287674,2.995432683478958,4087.6461357649055,1364.6262719606264,9.984775611581557e-13,1.362548710992003e-09,True,0.47143479505496816,643.3323068483832
16,28,1.75,1.830324436988711,2.995432683478958,8174.292271529811,2728.918702334521,9.984775611581557e-13,2.7247640867950422e-09,True,0.1906980178046615,520.3993872852623
32,51,1.59375,0.19491297117769335,2.9999930465399323,1048573.354384328,349525.2615980924,9.999976821784774e-13,3.495243903774363e-07,True,4.646716578508073,1624144.827675227
32,52,1.625,0.8880601517376405,2.9999930465399323,2097145.708768656,699050.1898620789,9.999976821784774e-13,6.990483252545155e-07,True,0.6990984186160322,488704.8822658164
32,53,1.65625,1.5812073322975877,2.9999930465399323,4194290.417537312,1398100.0463900517,9.999976821784774e-13,1.3980958285079442e-06,True,0.2590116737110567,362124.2330309933
64,102,1.59375,0.3898259423553867,2.999999999983883,549755813884.5698,183251937962.50775,9.999999999931277e-13,0.16826652763202762,True,2.0976509527876623,384398602267.24
64,103,1.609375,1.0829731229153339,2.999999999983883,1099511627768.1396,366503875924.6822,9.999999999931277e-13,0.31225556276860544,True,0.5119154796127378,187619007423.911
64,104,1.625,1.776120303475281,2.999999999983883,2199023255535.2793,733007751849.031,9.999999999931277e-13,0.5498584838015722,True,0.20379486641449346,149383216868.86145
