t,survival
0,0.999995
1,0.99999
2,0.999985
3,0.99998
4,0.999975
5,0.999965
6,0.999955
7,0.999935
8,0.999915
9,0.999885
10,0.999855
11,0.999815
12,0.999765
13,0.999695
14,0.999605
15,0.999485
16,0.99934
17,0.99916
18,0.998945
19,0.99866
20,0.998305
21,0.9979
22,0.997385
23,0.996855
24,0.996165
25,0.99526
26,0.994405
27,0.993235
28,0.991975
29,0.990635
30,0.988775
31,0.98733
32,0.98525
33,0.982295
34,0.980155
35,0.977055
36,0.975015
37,0.971925
38,0.967305
39,0.96445
40,0.960115
41,0.95541
42,0.9515
43,0.945385
44,0.942125
45,0.936875
46,0.92852
47,0.924205
48,0.917065
49,0.913705
50,0.907965
51,0.898355
52,0.89396
53,0.88638
54,0.878645
55,0.872855
56,0.862865
57,0.85863
58,0.851045
59,0.839475
60,0.83397
61,0.824025
62,0.820245
63,0.813125
64,0.800185
65,0.79531
66,0.786095
67,0.77975
68,0.7735
69,0.761535
70,0.75738
71,0.749175
72,0.735565
73,0.7302
74,0.71975
75,0.71615
76,0.709065
77,0.69531
78,0.69077
79,0.68163
80,0.678835
81,0.67293
82,0.66094
83,0.657295
84,0.64953
85,0.63825
86,0.63324
87,0.623025
88,0.619915
89,0.61341
90,0.600825
91,0.596725
92,0.588305
93,0.58581
94,0.58051
95,0.56949
96,0.56611
97,0.55906
98,0.549965
99,0.545665
100,0.53661
101,0.533835
102,0.52805
103,0.516705
104,0.51311
105,0.50555
106,0.503405
107,0.498715
108,0.48876
109,0.48569
110,0.479225
111,0.477325
112,0.47329
113,0.464755
114,0.462295
115,0.45694
116,0.448
117,0.444765
118,0.437685
119,0.435535
120,0.43094
121,0.42134
122,0.418325
123,0.41219
124,0.410105
125,0.405975
126,0.39766
127,0.394765
128,0.38908
129,0.38275
130,0.37886
131,0.371125
132,0.36833
133,0.36299
134,0.35272
135,0.34907
136,0.34195
137,0.33944
138,0.334645
139,0.325175
140,0.321885
141,0.31533
142,0.31228
143,0.30773
144,0.298875
145,0.29591
146,0.290045
147,0.278685
148,0.274785
149,0.267015
150,0.26451
151,0.259535
152,0.249445
153,0.24622
154,0.239665
155,0.23758
156,0.233315
157,0.22458
158,0.2219
159,0.216305
160,0.208325
161,0.20477
162,0.19746
163,0.195305
164,0.190685
165,0.181085
166,0.17827
167,0.172145
168,0.1705
169,0.166735
170,0.1586
171,0.15643
172,0.151645
173,0.149875
174,0.146995
175,0.140685
176,0.138995
177,0.13523
178,0.12689
179,0.12463
180,0.11954
181,0.118245
182,0.1152
183,0.10842
184,0.106665
185,0.102655
186,0.101665
187,0.09926
188,0.093885
189,0.092495
190,0.089395
191,0.08298
192,0.08118
193,0.077065
194,0.07609
195,0.073705
196,0.06826
197,0.06703
198,0.06389
199,0.06325
200,0.06155
201,0.057385
202,0.05657
203,0.05436
204,0.05335
205,0.05222
206,0.049275
207,0.04867
208,0.04706
209,0.043115
210,0.04229
211,0.040175
212,0.03986
213,0.038835
214,0.03605
215,0.03559
216,0.03421
217,0.03403
218,0.033385
219,0.03147
220,0.03116
221,0.030175
222,0.02757
223,0.027085
224,0.025685
225,0.025495
226,0.024865
227,0.023025
228,0.02273
229,0.02183
230,0.02171
231,0.02126
232,0.01995
233,0.01975
234,0.019125
235,0.018535
236,0.018195
237,0.017245
238,0.01707
239,0.01659
240,0.01537
241,0.01514
242,0.014495
243,0.014335
244,0.01395
245,0.01293
246,0.01272
247,0.01222
248,0.012125
249,0.01187
250,0.01116
251,0.011015
252,0.010655
253,0.0097
254,0.009485
255,0.00894
256,0.00884
257,0.00858
258,0.007905
259,0.007765
260,0.00741
261,0.007355
262,0.007175
263,0.006675
264,0.006595
265,0.00637
266,0.005925
267,0.005795
268,0.00543
269,0.005375
270,0.005225
271,0.00472
272,0.00462
273,0.00433
274,0.00429
275,0.004145
276,0.003735
277,0.00368
278,0.00351
279,0.00348
280,0.003415
281,0.00318
282,0.00315
283,0.00304
284,0.002715
285,0.00267
286,0.002515
287,0.002505
288,0.00244
289,0.00221
290,0.0022
291,0.0021
292,0.0021
293,0.00207
294,0.00195
295,0.00194
296,0.001895
297,0.00174
298,0.00173
299,0.00162
300,0.00162
301,0.001575
302,0.001425
303,0.00141
304,0.00132
305,0.00131
306,0.00126
307,0.00112
308,0.001105
309,0.00104
310,0.00103
311,0.000995
312,0.0009
313,0.00089
314,0.000855
315,0.000735
316,0.00072
317,0.000665
318,0.000665
319,0.000645
320,0.000575
321,0.000565
322,0.00053
323,0.000525
324,0.000505
325,0.000445
326,0.000445
327,0.00043
328,0.000335
329,0.00033
330,0.000285
331,0.000285
332,0.00027
333,0.000195
334,0.00019
335,0.00017
336,0.00017
337,0.000165
338,0.000145
339,0.00014
340,0.000125
341,0.000115
342,0.000115
343,0.0001
344,0.0001
345,0.0001
346,8e-05
347,8e-05
348,7.5e-05
349,7.5e-05
350,7e-05
351,4.5e-05
352,4.5e-05
353,4e-05
354,4e-05
355,4e-05
356,3.5e-05
357,3.5e-05
358,3.5e-05
359,2.5e-05
360,2.5e-05
361,2.5e-05
362,2.5e-05
363,2.5e-05
364,2e-05
365,2e-05
366,2e-05
367,2e-05
368,2e-05
369,1e-05
370,1e-05
371,1e-05
372,1e-05
373,1e-05
374,5e-06
375,5e-06
376,5e-06
377,5e-06
378,5e-06
379,5e-06
380,5e-06
381,5e-06
382,0.0
